確実に, かくじつに, certainly
慎重に, しんちょうに, carefully
偶然に, ぐうぜんに, accidentally
強調して, きょうちょうして, emphatically
意図的に, いとてきに, intentionally
徐々に, じょじょに, gradually
一斉に, いっせいに, simultaneously
柔軟に, じゅうなんに, flexibly
概して, がいして, generally
密かに, ひそかに, secretly
徹底的に, てっていてきに, thoroughly
相対的に, そうたいてきに, relatively
比較的に, ひかくてきに, comparatively
簡潔に, かんけつに, concisely
頻繁に, ひんぱんに, frequently
必然的に, ひつぜんてきに, inevitably
正確に, せいかくに, accurately
最終的に, さいしゅうてきに, ultimately
主に, おもに, mainly
無意識に, むいしきに, unconsciously
速く, はやく, quickly
ゆっくり, ゆっくり, slowly
よく, よく, often/well
たまに, たまに, occasionally
いつも, いつも, always
もう, もう, already
まだ, まだ, not yet
すぐに, すぐに, immediately
とても, とても, very
少し, すこし, a little
