独特な, どくとくな, unique
複雑な, ふくざつな, complex
微妙な, びみょうな, subtle
穏やかな, おだやかな, calm
魅力的な, みりょくてきな, charming
頑固な, がんこな, stubborn
意外な, いがいな, unexpected
抽象的な, ちゅうしょうてきな, abstract
適切な, てきせつな, appropriate
慎重な, しんちょうな, cautious
批判的な, ひはんてきな, critical
平凡な, へいぼんな, ordinary
悲観的な, ひかんてきな, pessimistic
独創的な, どくそうてきな, creative
臨機応変な, りんきおうへんな, flexible
画期的な, かっきてきな, groundbreaking
好奇心旺盛な, こうきしんおうせいな, curious
親しみやすい, したしみやすい, approachable
批評的な, ひひょうてきな, analytical
不明瞭な, ふめいりょうな, unclear
合理的な, ごうりてきな, logical
柔軟な, じゅうなんな, adaptable
知的な, ちてきな, intellectual
現実的な, げんじつてきな, realistic
静かな, しずかな, quiet
圧倒的な, あっとうてきな, overwhelming
象徴的な, しょうちょうてきな, symbolic
印象的な, いんしょうてきな, impressive
高尚な, こうしょうな, sophisticated
有益な, ゆうえきな, beneficial
大きい, おおきい, big
小さい, ちいさい, small
新しい, あたらしい, new
古い, ふるい, old
暑い, あつい, hot
寒い, さむい, cold
高い, たかい, tall/expensive
安い, やすい, cheap
美しい, うつくしい, beautiful
楽しい, たのしい, fun
普通, ふつう, normal
不自然, ふしぜん, unnatural
多い, おおい, many
