信じる, しんじる, to believe
奪う, うばう, to steal
挑戦する, ちょうせんする, to challenge
探る, さぐる, to explore
隠す, かくす, to hide
創造する, そうぞうする, to create
恐れる, おそれる, to fear
燃える, もえる, to burn
目指す, めざす, to aim for
求める, もとめる, to seek
騙す, だます, to deceive
立ち向かう, たちむかう, to confront
操る, あやつる, to manipulate
復讐する, ふくしゅうする, to take revenge
生き抜く, いきぬく, to survive
築く, きずく, to build
逃れる, のがれる, to escape
壊す, こわす, to destroy
守る, まもる, to protect
叫ぶ, さけぶ, to shout
救う, すくう, to save
疑う, うたがう, to doubt
導く, みちびく, to lead
語る, かたる, to tell a story
発見する, はっけんする, to discover
蘇る, よみがえる, to be revived
夢見る, ゆめみる, to dream
輝く, かがやく, to shine
壊れる, こわれる, to break
支配する, しはいする, to dominate
挑む, いどむ, to challenge
認める, みとめる, to recognize
解決する, かいけつする, to resolve
観察する, かんさつする, to observe
防ぐ, ふせぐ, to prevent
影響を与える, えいきょうをあたえる, to influence
適応する, てきおうする, to adapt
克服する, こくふくする, to overcome
実現する, じつげんする, to realize
主張する, しゅちょうする, to assert
拒否する, きょひする, to refuse
証明する, しょうめいする, to prove
制限する, せいげんする, to restrict
記憶する, きおくする, to memorize
統一する, とういつする, to unify
破壊する, はかいする, to destroy
改善する, かいぜんする, to improve
成長する, せいちょうする, to grow
習得する, しゅうとくする, to master
再現する, さいげんする, to reproduce
提案する, ていあんする, to propose
応用する, おうようする, to apply
納得する, なっとくする, to be convinced
証言する, しょうげんする, to testify
解釈する, かいしゃくする, to interpret
前進する, ぜんしんする, to advance
抑える, おさえる, to suppress
食べる, たべる, to eat
飲む, のむ, to drink
行く, いく, to go
来る, くる, to come
見る, みる, to see
聞く, きく, to listen
話す, はなす, to speak
読む, よむ, to read
書く, かく, to write
買う, かう, to buy
働く, はたらく, to work
返す, かえす, to return
告げる, つげる, to indicate
集める, あつめる, to gather
見つかる, みつかる, to be discovered
練習する, れんしゅうする, to practice
